,Okrug,Division,Latitude,Longitude
0,Central Administrative Okrug,Arbat,55.75111111111111,37.59
1,Central Administrative Okrug,Basmanny,55.76494722222222,37.67158333333333
2,Central Administrative Okrug,Khamovniki,55.726111111111116,37.571111111111115
3,Central Administrative Okrug,Krasnoselsky,55.77861111111111,37.656388888888884
4,Central Administrative Okrug,Meshchansky,55.77583333333333,37.6275
5,Central Administrative Okrug,Presnensky,55.74666666666667,37.536944444444444
6,Central Administrative Okrug,Tagansky,55.74138888888889,37.65416666666667
7,Central Administrative Okrug,Tverskoy,55.766666666666666,37.6
8,Central Administrative Okrug,Yakimanka,55.731388888888894,37.60388888888889
9,Central Administrative Okrug,Zamoskvorechye,55.73972222222222,37.625
10,Northern Administrative Okrug,Aeroport,55.79138888888889,37.559444444444445
11,Northern Administrative Okrug,Begovoy,55.78666666666666,37.57555555555556
12,Northern Administrative Okrug,Beskudnikovsky,55.86527777777778,37.565
13,Northern Administrative Okrug,Dmitrovsky,55.88861111111111,37.52361111111111
14,Northern Administrative Okrug,Golovinsky,55.84583333333334,37.51694444444444
15,Northern Administrative Okrug,Khoroshyovsky,55.788333333333334,37.529444444444444
16,Northern Administrative Okrug,Khovrino,55.87222222222222,37.50472222222222
17,Northern Administrative Okrug,Koptevo,55.833333333333336,37.51888888888889
18,Northern Administrative Okrug,Levoberezhny,55.86666666666667,37.46666666666667
19,Northern Administrative Okrug,Molzhaninovsky,55.93083333333333,37.38916666666667
20,Northern Administrative Okrug,Savyolovsky,55.81027777777778,37.5625
21,Northern Administrative Okrug,Sokol,55.8,37.5
22,Northern Administrative Okrug,Timiryazevsky,55.82027777777778,37.559999999999995
23,Northern Administrative Okrug,Vostochnoye Degunino,55.87305555555555,37.56888888888889
24,Northern Administrative Okrug,Voykovsky,55.81666666666667,37.5
25,Northern Administrative Okrug,Zapadnoye Degunino,55.86528055555556,37.53666944444444
26,North-Eastern Administrative Okrug,Alexeyevsky,55.81666666666667,37.65
27,North-Eastern Administrative Okrug,Altufyevsky,55.87972222222222,37.58416666666667
28,North-Eastern Administrative Okrug,Babushkinsky,55.86972222222222,37.66444444444444
29,North-Eastern Administrative Okrug,Bibirevo,55.891666666666666,37.61666666666667
30,North-Eastern Administrative Okrug,Butyrsky,55.816111111111105,37.58583333333333
31,North-Eastern Administrative Okrug,Lianozovo,55.9,37.56666666666667
32,North-Eastern Administrative Okrug,Losinoostrovsky,55.88393055555556,37.69976111111111
33,North-Eastern Administrative Okrug,Marfino,55.83027777777778,37.59277777777778
34,North-Eastern Administrative Okrug,Maryina roshcha,55.8,37.61666666666667
35,North-Eastern Administrative Okrug,Ostankinsky,55.830555555555556,37.62111111111111
