,Okrug,Division,DivLatitude,DivLongitude,VenueId,VenueName,VenueLatitude,VenueLongitude,VenueCategory
0,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4bf78ca6b182c9b659fc755a,Театр им. Вахтангова,55.749569097439185,37.5916377566703,Theater
1,Central Administrative Okrug,Arbat,55.75111111111111,37.59,57c027d7498e8532054695f3,Corner Café & Kitchen,55.75149600323321,37.58675670281036,Japanese Restaurant
2,Central Administrative Okrug,Arbat,55.75111111111111,37.59,553f5daf498e4e3acfc1b704,Кофемания,55.752156,37.588548,Coffee Shop
3,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4daac3fe1e72c1ab9bfb6528,Мемориальный музей А. Н. Скрябина,55.75072508934187,37.5901910662651,Museum
4,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4bc09d91461576b055617a32,Arbat Street (Арбат),55.749941351119865,37.593326568603516,Road
5,Central Administrative Okrug,Arbat,55.75111111111111,37.59,5cc31502c58ed7002df36c36,DoctorHead,55.752127136701645,37.59317636489868,Music Store
6,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4bdaf0f6c79cc928335380e9,Спортивный комплекс «Арбат»,55.75092809840991,37.587129610112285,Pool
7,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4d270cff55a8b60c0e01c0c0,Aldo Coppola,55.752313945988234,37.58821542063431,Salon / Barbershop
8,Central Administrative Okrug,Arbat,55.75111111111111,37.59,5c24fba21cf2e1002caef507,Pentahotel Moscow Arbat,55.75233354762169,37.592753118568744,Hotel
9,Central Administrative Okrug,Arbat,55.75111111111111,37.59,553f9ac0498e78189d4529a6,Stand-Up Club № 1,55.75179127636985,37.58727550506592,Comedy Club
10,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4c9dfa51ca44236ad9c62599,Центральный дом актёра им. А. А. Яблочкиной,55.749182276545056,37.592059222048604,Theater
11,Central Administrative Okrug,Arbat,55.75111111111111,37.59,5b77d792b1538e002c86da3c,Даблби,55.75293734067868,37.58803725242615,Coffee Shop
12,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4c95ef9e82b56dcb892cddaa,Melnikov House (Дом Мельникова),55.74807305592507,37.589493818787076,Museum
13,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4d80c024f724a093ebf713f7,The Art of Shaving,55.752415053093195,37.58527155653952,Salon / Barbershop
14,Central Administrative Okrug,Arbat,55.75111111111111,37.59,5cdd76890e3239002b5b9028,Cihan Steak and Kebab,55.75206675752937,37.58539795875549,BBQ Joint
15,Central Administrative Okrug,Arbat,55.75111111111111,37.59,5b0180dd60255e002c89eec2,Слепой Пью,55.749093401532754,37.59008949290537,Bar
16,Central Administrative Okrug,Arbat,55.75111111111111,37.59,55104517498e8f16ae9ba334,Holy Berry,55.75209807923667,37.58553743362426,Coffee Shop
17,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4d8dbbd3d4ec8cfa58af6089,ТД «Весна» / Vesna Mall (ТД «Весна»),55.752024949276105,37.58824632739808,Shopping Mall
18,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4e0091e1d4c0836163d8c269,Mandara Spa,55.750136614823205,37.583638142349216,Spa
19,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4bc31ef6920eb713cef71c2c,SVMoscow,55.75363346956457,37.59304397969632,Clothing Store
20,Central Administrative Okrug,Arbat,55.75111111111111,37.59,57cc452f498eb5f6e5806de3,Качели на Арбате,55.75248388595709,37.59388168561556,Playground
21,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4bbf355430c99c740cc45411,Московский дом книги,55.753090737906774,37.595354318618774,Bookstore
22,Central Administrative Okrug,Arbat,55.75111111111111,37.59,50c35983e4b02085d70f852f,Faro Hostel,55.75030698995356,37.594341785825286,Hostel
23,Central Administrative Okrug,Arbat,55.75111111111111,37.59,56658be5498e9cc526a1aaf6,Библиотека,55.74876340762282,37.587017278612066,Hookah Bar
24,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4bfd273fe529c9285b73ba8c,Lotte Hotel,55.750208418892626,37.583129144179246,Hotel
25,Central Administrative Okrug,Arbat,55.75111111111111,37.59,4b7821b6f964a52063b72ee3,Киноцентр «Октябрь»,55.75296489347572,37.587909767402124,Multiplex
